Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
19-04-2012,ASIANPAINT,EQ,3311.15,3315,3350,3300.05,3341,3328.85,3320.36,23980,7.96223E+12,4093,12116,0.5053
20-04-2012,ASIANPAINT,EQ,3328.85,3336,3355,3311.05,3345,3340.55,3338.61,57796,1.92958E+13,5939,37424,0.6475
23-04-2012,ASIANPAINT,EQ,3340.55,3345,3485.4,3312.05,3475,3471,3436.54,156158,5.36643E+13,17404,85850,0.5498
24-04-2012,ASIANPAINT,EQ,3471,3471.05,3497.4,3430,3430.25,3462,3470.65,128266,4.45167E+13,14031,87352,0.6809999999999999
25-04-2012,ASIANPAINT,EQ,3462,3465,3467,3405.1,3427.9,3422.3,3431.18,60944,2.0911E+13,7011,47146,0.7736000000000001
26-04-2012,ASIANPAINT,EQ,3422.3,3420,3525,3411.55,3475,3482,3484.65,335075,116762032565000.02,23432,222357,0.6636
27-04-2012,ASIANPAINT,EQ,3482,3451,3552,3430.05,3533.9,3523.3,3515.03,103765,3.64737E+13,8997,53503,0.5156000000000001
28-04-2012,ASIANPAINT,EQ,3523.3,3533,3559.9,3480,3550,3548.05,3541.59,7968,2.82194E+12,713,2716,0.34090000000000004
30-04-2012,ASIANPAINT,EQ,3548.05,3526,3549.65,3500,3511,3526.8,3526.38,110987,3.91383E+13,7691,79742,0.7184999999999999
02-05-2012,ASIANPAINT,EQ,3526.8,3527,3549,3482.45,3548,3530.8,3512.57,57241,2.01063E+13,6512,29720,0.5192
03-05-2012,ASIANPAINT,EQ,3530.8,3513,3626,3471,3626,3603.6,3564.13,94747,3.37691E+13,8701,46863,0.49460000000000004
04-05-2012,ASIANPAINT,EQ,3603.6,3603,3650,3580,3617.9,3615.35,3627.48,135920,4.93048E+13,12753,70721,0.5203
07-05-2012,ASIANPAINT,EQ,3615.35,3599,3717,3545.55,3717,3644.4,3599.16,143285,5.15706E+13,16725,83341,0.5816
08-05-2012,ASIANPAINT,EQ,3644.4,3674,3699,3621.5,3636.15,3655.55,3648.7,113229,4.13138E+13,8901,56742,0.5011
09-05-2012,ASIANPAINT,EQ,3655.55,3699,3745,3631.1,3700,3708.75,3689.9,196151,7.23778E+13,16465,70055,0.35710000000000003
10-05-2012,ASIANPAINT,EQ,3708.75,3671,3744,3631,3635,3653.85,3696.81,77188,2.85349E+13,8926,31784,0.4118
11-05-2012,ASIANPAINT,EQ,3653.85,3633,3674,3583.4,3654.15,3623.85,3620.67,72414,2.62187E+13,6891,18751,0.2589
14-05-2012,ASIANPAINT,EQ,3623.85,3605.05,3734.9,3575,3734.9,3697.25,3639.66,96547,35139848010000.004,8424,44852,0.4646
15-05-2012,ASIANPAINT,EQ,3697.25,3699.95,3780,3676.3,3767,3768.05,3746.56,109462,4.10106E+13,10929,45064,0.4117
16-05-2012,ASIANPAINT,EQ,3768.05,3748,3786,3730,3751.95,3754.35,3753.59,96475,3.62128E+13,8144,49375,0.5118
17-05-2012,ASIANPAINT,EQ,3754.35,3770,3784.95,3681,3695,3695.05,3739.75,82484,3.08469E+13,9731,40668,0.493
18-05-2012,ASIANPAINT,EQ,3695.05,3668,3725,3650.2,3706.05,3701.05,3687.22,84744,3.1247E+13,13791,42180,0.49770000000000003
21-05-2012,ASIANPAINT,EQ,3701.05,3710,3770,3691.6,3757,3754.25,3738.06,48158,1.80017E+13,5641,19980,0.41490000000000005
22-05-2012,ASIANPAINT,EQ,3754.25,3754,3754,3656,3686,3677,3707.32,56392,2.09063E+13,7474,27409,0.48600000000000004
23-05-2012,ASIANPAINT,EQ,3677,3694.95,3696.6,3638,3693.95,3677.5,3660.27,48275,1.767E+13,7476,21794,0.4515
